orf	gene	crispr	rep	tech	gate	seqnum	cover	date
YOR293W	RPS10A	a	2	1	5	C34	16	190201
YLL028W	TPO1	a	1	1	1	C52	17	190201
YLL028W	TPO1	a	1	1	2	C53	18	190201
YLL028W	TPO1	a	1	1	3	C54	19	190201
YLL028W	TPO1	a	1	1	4	C55	16	190201
YLL028W	TPO1	a	1	1	5	C56	17	190201
YLL028W	TPO1	a	2	1	1	C18	18	190201
YLL028W	TPO1	a	2	1	2	C19	19	190201
YLL028W	TPO1	a	2	1	3	C20	19	190201
YLL028W	TPO1	a	2	1	4	C21	19	190201
YLL028W	TPO1	a	2	1	5	C22	20	190201
YKL035W	UGP1	a	1	1	1	C32	14	190201
YKL035W	UGP1	a	1	1	2	C33	13	190201
YKL035W	UGP1	a	1	1	3	C34	13	190201
YKL035W	UGP1	a	1	1	4	C35	13	190201
YKL035W	UGP1	a	1	1	5	C36	11	190201
