ref1	ref2	conca	chromo	maxIndex	maxValue	leftIndex	rightIndex	deltaHight_Low
GPD1_a_0_1_1	GPD1_a_2_1_1	GPD1_a_0_1_1 GPD1_a_2_1_1	10	686500	3.64	582400	741700	-0.0759193213576176
GPD1_a_0_1_1	GPD1_a_2_1_1	GPD1_a_0_1_1 GPD1_a_2_1_1	12	681100	14.64	655700	764300	-0.155965893451045
GPD1_a_0_1_1	GPD1_a_3_1_1	GPD1_a_0_1_1 GPD1_a_3_1_1	10	150200	3.8	55800	285400	-0.074637768926166
GPD1_a_0_1_1	GPD1_a_3_1_1	GPD1_a_0_1_1 GPD1_a_3_1_1	10	686900	4.92	618700	741700	-0.0914965070789739
GPD1_a_0_1_1	GPD1_a_3_1_1	GPD1_a_0_1_1 GPD1_a_3_1_1	12	758100	7.2	710500	804100	-0.100361800095323
GPD1_a_0_1_1	GPD1_a_3_2_1	GPD1_a_0_1_1 GPD1_a_3_2_1	8	111900	3.42	56500	317300	0.0621170785670574
GPD1_a_0_1_1	GPD1_a_3_2_1	GPD1_a_0_1_1 GPD1_a_3_2_1	10	129000	5.87	82300	178300	-0.107069819753271
GPD1_a_0_1_1	GPD1_a_3_2_1	GPD1_a_0_1_1 GPD1_a_3_2_1	10	679300	5.61	629500	741700	-0.0792757309807509
GPD1_a_0_1_1	GPD1_a_3_2_1	GPD1_a_0_1_1 GPD1_a_3_2_1	12	748400	5.08	623300	808400	-0.0995585371634081
GPD1_a_0_1_1	GPD1_a_3_2_1	GPD1_a_0_1_1 GPD1_a_3_2_1	13	28500	2.88	0	135100	-0.0821625732473246
GPD1_a_0_1_1	GPD1_a_4_1_1	GPD1_a_0_1_1 GPD1_a_4_1_1	2	161600	3.35	0	289400	0.0824334448862779
GPD1_a_0_1_1	GPD1_a_4_1_1	GPD1_a_0_1_1 GPD1_a_4_1_1	5	524200	4.17	490200	566500	0.0815701851229091
GPD1_a_0_1_1	GPD1_a_4_1_1	GPD1_a_0_1_1 GPD1_a_4_1_1	10	722500	3.26	628200	741700	-0.0880293584451521
GPD1_a_0_1_1	GPD1_a_4_1_1	GPD1_a_0_1_1 GPD1_a_4_1_1	11	353100	2.87	202000	507000	0.0450893484546571
GPD1_a_0_1_1	GPD1_a_4_1_1	GPD1_a_0_1_1 GPD1_a_4_1_1	12	665300	12.02	608100	754900	-0.138620378776426
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	2	574700	5.68	502900	658200	0.0848977744275884
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	4	33100	4.71	0	90300	0.0982083905804337
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	7	246700	3.14	62400	392700	-0.051194973521835
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	8	127800	6.2	90400	183500	0.0910978904751337
GPD1_a_0_1_2	GPD1_a_1_1_2	GPD1_a_0_1_2 GPD1_a_1_1_2	11	372800	3.64	180300	451700	0.071749796894064
