target_id	length	eff_length	est_counts	tpm
YOR242C	1116	917	145	2.92974
YLR077W	1752	1553	3037	36.2329
YCR081W	4284	4085	2243	10.1734
YOR396C-A	483	284	0.000403705	2.63375e-05
YLR458W	381	182	1	0.101803
YBL040C	660	461	3542	142.357
YJR127C	4143	3944	3852	18.0959
YJL176C	2478	2279	4163	33.8448
YLR453C	1188	989	303	5.67644
YCR007C	720	521	194	6.89912
YHR128W	651	452	10852	444.837
YOR297C	579	380	798	38.9089
YDR225W	399	200	14126	1308.64
YPR020W	348	149	1247	155.064
YJR003C	1560	1361	2919	39.738
YIL101C	1944	1745	175	1.85812
YHR136C	447	248	19	1.41949
YPR114W	948	749	4212	104.193
YPL189W	1830	1631	228	2.59007
YJL056C	2643	2444	1474	11.1745
YPR169W-A	219	33.0557	28	15.6943
YLR264C-A	117	9.56096	0	0
YPL247C	1572	1373	1063	14.3447
YDR482C	408	209	747	66.2223
YJL122W	528	329	4508	253.874
YBL058W	1272	1073	7961	137.467
YLL039C	1146	947	6442	126.038
YKL107W	930	731	27	0.684347
YCL017C	1494	1295	3897	55.7559
YER085C	522	323	15	0.860436
YMR186W	2118	1919	114859	1108.97
YCR065W	1695	1496	2255	27.9283
YOR388C	1131	932	33.2857	0.661716
YLR002C	1992	1793	7548	77.9977
YFL045C	765	566	21132	691.758
YPR091C	2313	2114	4213	36.9247
YOL083W	1239	1040	378	6.73424
YLR307C-A	264	66.2053	6	1.67915
YDR366C	399	200	910	84.3027
Q0065	1671	1472	56.2985	0.708629
YER190C-A	576	377	3.82147	0.18781
YDR545C-A	480	281	13.5038	0.890387
YNL020C	1917	1718	1040	11.2161
YGL125W	1803	1604	4273	49.3581
YKR038C	1161	962	3666	70.6069
YDL215C	3279	3080	3877	23.3225
YLR354C	1008	809	25592	586.119
YCR022C	345	146	26	3.29952
YFR008W	666	467	360	14.2829
YDR284C	870	671	2650	73.1734
YFL013C	2079	1880	3488	34.3755
YKL051W	1062	863	2352	50.4959
YPR174C	666	467	801	31.7794
YMR091C	1308	1109	3683	61.5319
YJL143W	477	278	3952	263.392
YDR112W	309	110.015	0	0
YGR057C	729	530	1011	35.3432
YKL194C	1389	1190	1226	19.0886
YLR308W	939	740	3	0.0751138
YBR065C	1095	896	1260	26.0551
YMR029C	1572	1373	2700	36.4354
YHL042W	453	254	47	3.42842
YPR121W	1719	1520	1170	14.2617
YNL068C	2589	2390	3561	27.606
YLR156C-A	132	10.8985	0	0
YGL157W	1044	845	5557	121.847
YGL178W	2580	2381	2425	18.8705
YMR148W	447	248	781	58.3485
YML058W	315	116.007	5089	812.788
YLR249W	3135	2936	222315	1402.95
YGR019W	1416	1217	2903	44.1964
YJL049W	1353	1154	1441	23.136
YBR263W	1473	1274	11497	167.203
YOR249C	2058	1859	1473	14.6809
YBL097W	2265	2066	1458	13.0755
YCR020W-B	237	44.1265	161	67.6015
YPR044C	354	155	7	0.836751
YDR286C	345	146	331	42.0054
YDR170W-A	1323	1124	598.056	9.85838
YLR342W-A	174	17.1937	1	1.07761
YGR027W-A	1323	1124	6640.61	109.464
YBL043W	774	575	286	9.2157
YLR018C	900	701	2543	67.2138
