reporterId	systematicName	geneSymbol	M	A	pvalue
SCAB000914	YDL160C	DHH1	-0.082526998	10.444615	0.662184
SCAB000915	YDL161W	ENT1	0.0039907406	11.001032	0.983163
SCAB000916	YDL162C	YDL162C	-0.031018647	6.8640081	0.851158
SCAB000917	YDL163W	YDL163W	-0.0088651315	6.0138891	0.955584
SCAB000918	YDL164C	CDC9	-0.045328702	10.117923	0.70733
SCAB000919	YDL165W	CDC36	-0.023498517	10.895294	0.849176
SCAB000920	YDL166C	FAP7	0.025000437	11.445011	0.862849
SCAB000921	YDL167C	NRP1	0.19259819	10.315813	0.135511
SCAB000922	YDL168W	SFA1	-0.0024243208	11.742784	0.988946
SCAB000923	YDL169C	UGX2	-0.24739354	7.3467979	0.0958988
SCAB000924	YDL170W	UGA3	-0.038650791	9.317898	0.828376
SCAB000925	YDL171C	GLT1	0.080466656	11.555894	0.56758
SCAB000926	YDL172C	YDL172C	0.064841474	6.424899	0.691981
SCAB000927	YDL173W	PAR32	0.043904394	11.276487	0.796427
SCAB000928	YDL174C	DLD1	-0.040407875	9.9324392	0.784907
SCAB000929	YDL175C	AIR2	0.035412768	8.3048779	0.742728
SCAB000930	YDL176W	YDL176W	-0.081171102	9.4558511	0.425552
SCAB000932	YDL178W	DLD2	-0.056006681	10.579353	0.628019
SCAB000933	YDL179W	PCL9	0.14959756	9.5037491	0.140014
SCAB000934	YDL180W	YDL180W	-0.028932901	9.7266996	0.852117
SCAB000935	YDL181W	INH1	0.0015428584	10.730999	0.996903
SCAB000936	YDL182W	LYS20	-0.038600409	11.03801	0.857952
SCAB000937	YDL183C	YDL183C	0.031508123	8.2304943	0.789444
SCAB000938	YDL133C-A	RPL41B	0.10315518	15.419921	0.810374
SCAB000939	YDL185C-A	YDL185C-A	0.058344206	6.6656964	0.693907
SCAB000940	YDL185W	TFP1	-0.018350434	13.737459	0.905232
SCAB000941	YDL186W	YDL186W	-0.068008394	6.7822772	0.602468
SCAB000942	YDL187C	YDL187C	0.2509252	7.4131079	0.00732843
SCAB000943	YDL188C	PPH22	-0.18036124	10.731029	0.0553829
SCAB000944	YDL189W	RBS1	0.20512973	10.689219	0.0390116
SCAB000945	YDL190C	UFD2	0.0099060814	10.685777	0.954303
SCAB000946	YDL191W	RPL35A	-0.033293424	14.918175	0.926846
SCAB000947	YDL192W	ARF1	-0.07295918	14.458083	0.561535
SCAB000948	YDL193W	NUS1	-0.11115429	10.592743	0.189186
SCAB000949	YDL194W	SNF3	0.15677197	8.9306677	0.0763031
SCAB000950	YDL195W	SEC31	0.088942118	11.724082	0.628019
SCAB000952	YDL197C	ASF2	-0.038579663	9.0434672	0.702576
SCAB000953	YDL198C	GGC1	-0.12663247	11.067195	0.236479
